what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.common.project.facet.core,1.3.1.v200807031821,org.eclipse.wst.common.project.facet.core,1275412125584
started,bundle,org.eclipse.jst.jsf.common,1.1.0.v20080605,org.eclipse.jst.jsf.common,1275412125604
started,bundle,org.eclipse.jst.jsf.core,1.1.100.v200808071446,org.eclipse.jst.jsf.core,1275412125622
started,bundle,org.eclipse.wst.ws.service.policy.ui,1.0.1.v200807162242,org.eclipse.wst.ws.service.policy.ui,1275412125631
started,bundle,org.eclipse.pde.ui,3.4.0.v20080803-1700,org.eclipse.pde.ui,1275412125656
started,bundle,org.eclipse.ui.views.log,1.0.0.v20080803-1700,org.eclipse.ui.views.log,1275412125678
activated,view,org.eclipse.jdt.ui,3.4.0.v20080603-2000,org.eclipse.jdt.ui.PackageExplorer,1275412139577
activated,view,org.eclipse.jdt.ui,3.4.0.v20080603-2000,org.eclipse.jdt.ui.PackageExplorer,1275412139600
closed,view,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.internal.introview,1275412139646
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1275412143833
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1275412188684
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.file.import,1275412188700
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1275412189418
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1275412191732
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1275412196110
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1275412199335
started,bundle,org.eclipse.mylyn.ide.ant,3.0.0.v20080619-1900,org.eclipse.mylyn.ide.ant,1275412199443
started,bundle,org.eclipse.mylyn.java.ui,3.0.0.v20080619-1900,org.eclipse.mylyn.java.ui,1275412199475
started,bundle,org.eclipse.mylyn.resources.ui,3.0.0.v20080619-1900,org.eclipse.mylyn.resources.ui,1275412199582
started,bundle,org.eclipse.cdt.core,5.0.0.200806171202,org.eclipse.cdt.core,1275412200188
started,bundle,org.eclipse.ui.navigator,3.3.100.I20080606-1300,org.eclipse.ui.navigator,1275412200512
started,bundle,org.eclipse.ltk.core.refactoring,3.4.0.v20080603-2000,org.eclipse.ltk.core.refactoring,1275412200656
started,bundle,org.eclipse.cdt.ui,5.0.0.200806171202,org.eclipse.cdt.ui,1275412200729
started,bundle,org.eclipse.cdt.make.ui,5.0.0.200806171202,org.eclipse.cdt.make.ui,1275412200796
started,bundle,org.eclipse.cdt.mylyn.ui,1.0.0.200806171202,org.eclipse.cdt.mylyn.ui,1275412201123
